id_model;MODELO
ILX 2.4L;ILX 2.4L
MDX;MDX
MDX, TL;MDX, TL
RDX;RDX
RL;RL
RLX;RLX
TL;TL
TSX;TSX
147;147
156 (TM Y SELEPPED;156 (TM Y SELEPPED
A1, A1 SPORTBACK;A1, A1 SPORTBACK
A3;A3
A3 SPORTBACK;A3 SPORTBACK
A3 3.2L;A3 3.2L
A3 CABRIO;A3 CABRIO
A4;A4
A4, 2.0L, CABRIO;A4, 2.0L, CABRIO
A5;A5
A5, A5 SPORTBACK;A5, A5 SPORTBACK
A6;A6
A7 SPORTBACK;A7 SPORTBACK
A8;A8
Q3;Q3
Q5;Q5
Q7;Q7
R5 4.2L;R5 4.2L
R8;R8
RS4;RS4
RS6;RS6
S3;S3
S4;S4
S5;S5
S6;S6
S7;S7
S8;S8
TT 2.0L;TT 2.0L
TT 3.20L;TT 3.20L
TTS 2.0L;TTS 2.0L
LACROSSE;LACROSSE
REGAL;REGAL
SERIE 1 (120i,130i);SERIE 1 (120i,130i)
SERIE 1 COUPE;SERIE 1 COUPE
SERIE 1 M COUPE;SERIE 1 M COUPE
SERIE 3 (320i, 323i, 328i, 330i, 325i);SERIE 3 (320i, 323i, 328i, 330i, 325i)
SERIE 5 (535i GT);SERIE 5 (535i GT)
SERIE 5 (535i, 528i);SERIE 5 (535i, 528i)
SERIE 5 (535i);SERIE 5 (535i)
SERIE 5 (550i);SERIE 5 (550i)
SERIE 6 (650i);SERIE 6 (650i)
SERIE 7;SERIE 7
SERIE M1;SERIE M1
SERIE M3;SERIE M3
SERIE M5;SERIE M5
SERIE M6;SERIE M6
VERANO;VERANO
X1;X1
X3;X3
X5;X5
X6;X6
Z3 (COUPE, CONVERTIBLE);Z3 (COUPE, CONVERTIBLE)
Z4;Z4
Z4 M;Z4 M
Z4 ROADSTER;Z4 ROADSTER
Z8;Z8
ENCLAVE;ENCLAVE
ENCORE;ENCORE
ATS;ATS
CATERA;CATERA
CTS;CTS
CTS V;CTS V
DEVILLE 4.6L, 4.9L;DEVILLE 4.6L, 4.9L
EL DORADO 4.6L;EL DORADO 4.6L
ESCALADE ESV;ESCALADE ESV
ESCALADE EXT;ESCALADE EXT
SEVILLE STS 4.6L;SEVILLE STS 4.6L
SRX;SRX
STS;STS
XLR;XLR
ASTRA TODAS LAS VERSIONES;ASTRA TODAS LAS VERSIONES
AVALANCHE;AVALANCHE
AVEO;AVEO
BLAZER 3.0L, 4.3L;BLAZER 3.0L, 4.3L
CAMARO 5.7L;CAMARO 5.7L
CAPTIVA;CAPTIVA
CAVALIER TODAS LAS VERSIONES;CAVALIER TODAS LAS VERSIONES
CHEVY TODAS LAS VERISONES;CHEVY TODAS LAS VERISONES
CHEYENNE;CHEYENNE
COLORADO;COLORADO
CORSA (SEDAN, COUPE);CORSA (SEDAN, COUPE)
CORSA SEDÁN, COUPÉ;CORSA SEDÁN, COUPÉ
CORVETTE;CORVETTE
CORVETTE, STINGRAY 2014;CORVETTE, STINGRAY 2014
CRUZE;CRUZE
EPICA;EPICA
EQUINOX;EQUINOX
EXPRESS CARGO VAN 5.7L;EXPRESS CARGO VAN 5.7L
HHR;HHR
IMPALA LS;IMPALA LS
LUMINA;LUMINA
LUV PICK UP 2.3L;LUV PICK UP 2.3L
MALIBÚ;MALIBÚ
MALIBU TIPICO, LUJO, 3.1L, 2.0L;MALIBU TIPICO, LUJO, 3.1L, 2.0L
MERIVA;MERIVA
OPTRA;OPTRA
PICK UP 1500, 2500, 3500;PICK UP 1500, 2500, 3500
S-10 2.2L;S-10 2.2L
S-10 MAXICAB 3.1L, 4.3L;S-10 MAXICAB 3.1L, 4.3L
SILHOUETTE;SILHOUETTE
SILVERADO 1500, 2500, 3500, HEAVY DUTY;SILVERADO 1500, 2500, 3500, HEAVY DUTY
SONIC;SONIC
SONORA;SONORA
SPARK;SPARK
SUBURBAN;SUBURBAN
TAHOE;TAHOE
TIGRA;TIGRA
TORNADO;TORNADO
TRACKER 1.6L;TRACKER 1.6L
TRAVERSE;TRAVERSE
TRAX;TRAX
TRIALBLAZER;TRIALBLAZER
UPLANDER;UPLANDER
VECTRA COMFORT, ELEGANCE;VECTRA COMFORT, ELEGANCE
VENTURE (LS, LT);VENTURE (LS, LT)
ZAFIRA (BASE, COMFORT);ZAFIRA (BASE, COMFORT)
200;200
300;300
300C;300C
300M;300M
ASPEN;ASPEN
CARGO VAN Y CONVERSION VAN;CARGO VAN Y CONVERSION VAN
CIRRUS 2.4L, 2.5L FI;CIRRUS 2.4L, 2.5L FI
CIRRUS SEDAN, CONVERTIBLE;CIRRUS SEDAN, CONVERTIBLE
CONCORDE 3.5L FI;CONCORDE 3.5L FI
CROSSFIRE;CROSSFIRE
GRAND CARAVAN;GRAND CARAVAN
GRAND VOYAGER 3.8L;GRAND VOYAGER 3.8L
H100;H100
LHS;LHS
NEON (SE, SXT, R/T, SRT-4);NEON (SE, SXT, R/T, SRT-4)
NEW YORKER;NEW YORKER
PACIFICA (FWD, AWD);PACIFICA (FWD, AWD)
PT CRUSIER;PT CRUSIER
STRATUS 2.0L, 2.4L;STRATUS 2.0L, 2.4L
TOWN & COUNTRY (EL,LX,LXI LIMITED);TOWN & COUNTRY (EL,LX,LXI LIMITED)
VOYAGER 3.3L;VOYAGER 3.3L
ATOS (BASICO, LUJO);ATOS (BASICO, LUJO)
ATTITUDE;ATTITUDE
AVENGER;AVENGER
CALIBER;CALIBER
CARAVAN;CARAVAN
CHALLENGER;CHALLENGER
CHARGER, SUPER BEE;CHARGER, SUPER BEE
DAKOTA SXT,SLT,SPORT,R/T;DAKOTA SXT,SLT,SPORT,R/T
DART;DART
DURANGO;DURANGO
DURANGO (SPORT, SXT, SLT,R/T);DURANGO (SPORT, SXT, SLT,R/T)
I10;I10
JOURNEY;JOURNEY
RAM 1500;RAM 1500
RAM 2500;RAM 2500
RAM 3500;RAM 3500
RAM 4000;RAM 4000
RAM CHARGER;RAM CHARGER
RAM NIGHT RUNNER;RAM NIGHT RUNNER
RAM WAGON;RAM WAGON
RAM WAGON 1500 3.9L, 5.2L;RAM WAGON 1500 3.9L, 5.2L
RAM WAGON 2500 5.2L, 5.9L;RAM WAGON 2500 5.2L, 5.9L
VERNA;VERNA
VIPER;VIPER
ALBEA;ALBEA
BRAVO;BRAVO
DUCATO;DUCATO
F500 TODAS LAS VERSIONES;F500 TODAS LAS VERSIONES
GRANDE TODAS LAS VERSIONES;GRANDE TODAS LAS VERSIONES
IDEA;IDEA
IDEA ADVENTURE;IDEA ADVENTURE
PALIO, PALIO ADVENTURER;PALIO, PALIO ADVENTURER
PANDA;PANDA
PUNTO;PUNTO
STRADA;STRADA
STYLO;STYLO
UNO;UNO
CLUB WAGON/ECONO- LINE-150/250 4.2L.;CLUB WAGON/ECONO- LINE-150/250 4.2L.
CLUB WAGON/ECONOLINE-350 7.3L;CLUB WAGON/ECONOLINE-350 7.3L
CONTOUR 2.0L, 2.5L Y SVT;CONTOUR 2.0L, 2.5L Y SVT
COURIER 1.6L;COURIER 1.6L
CROWN VICTORIA;CROWN VICTORIA
E-150, E-350;E-150, E-350
ECONOLINE 150;ECONOLINE 150
ECONOLINE 350;ECONOLINE 350
ECOSPORT 2.0L;ECOSPORT 2.0L
ECOSPORT 2.0L, INDIA, BRASIL;ECOSPORT 2.0L, INDIA, BRASIL
EDGE;EDGE
EDGE 3.5L;EDGE 3.5L
EDGE 3.5L, 2.0 ECOBOOST;EDGE 3.5L, 2.0 ECOBOOST
ESCAPE;ESCAPE
ESCAPE EUROPA 2.0L, 2.5L;ESCAPE EUROPA 2.0L, 2.5L
ESCORT Y ZX2 2.0L;ESCORT Y ZX2 2.0L
EXCURSION 6.8L;EXCURSION 6.8L
EXPEDITION;EXPEDITION
EXPEDITION 3.5L ECOBOOST V6;EXPEDITION 3.5L ECOBOOST V6
EXPEDITION KING RANCH;EXPEDITION KING RANCH
EXPEDITION MAX 3.5L CY- CLONE TiVCT;EXPEDITION MAX 3.5L CY- CLONE TiVCT
EXPLORER 5.0L;EXPLORER 5.0L
EXPLORER SPORT 4.0L;EXPLORER SPORT 4.0L
EXPLORER SPORT TRAC 4.6L;EXPLORER SPORT TRAC 4.6L
F-150;F-150
FIESTA 1.6L NA, HATCH, TITANIUM;FIESTA 1.6L NA, HATCH, TITANIUM
FIESTA 1.6L NOTCH BRASIL;FIESTA 1.6L NOTCH BRASIL
FIESTA CCT 1.6L ECOBOOST;FIESTA CCT 1.6L ECOBOOST
FIESTA EUROPA DX 1.3L, 1.4L;FIESTA EUROPA DX 1.3L, 1.4L
FIESTA IKON 1.6L BRASIL;FIESTA IKON 1.6L BRASIL
FIGO;FIGO
FIVE HUNDRED 3.0L;FIVE HUNDRED 3.0L
FOCUS 2.0L , ZX3;FOCUS 2.0L , ZX3
FOCUS 2.0L ARGENTINA;FOCUS 2.0L ARGENTINA
FOCUS ELECTRIC POWER;FOCUS ELECTRIC POWER
FOCUS EUROPEO 2.0L;FOCUS EUROPEO 2.0L
FOCUS EUROPEO ST;FOCUS EUROPEO ST
FOCUS SEDÁN-SX3-SVT, SE, LX;FOCUS SEDÁN-SX3-SVT, SE, LX
FREESTAR;FREESTAR
FUSION;FUSION
FUSION 2.0L ECOBOOST 2.5 L;FUSION 2.0L ECOBOOST 2.5 L
FUSION 2.3L, 2.5L, 3.0L;FUSION 2.3L, 2.5L, 3.0L
