id_año;AÑO
2013 - 2016;2013 - 2016
2004 - 2014;2004 - 2014
2004 - 2009;2004 - 2009
2007 - 2014;2007 - 2014
2004 - 2012;2004 - 2012
2014;2014
2004 - 2015;2004 - 2015
2003 -2010;2003 -2010
1997 - 2006;1997 - 2006
2013 - 2014;2013 - 2014
1996 - 2014;1996 - 2014
2005 - 2010;2005 - 2010
1995- 2005;1995- 2005
1997 - 2014;1997 - 2014
2009 - 2014;2009 - 2014
2005 - 2014;2005 - 2014
1997 - 2012;1997 - 2012
1998 - 2014;1998 - 2014
1996- 2004;1996- 2004
2011 - 2014;2011 - 2014
2011 - 2012;2011 - 2012
2003 - 2005;2003 - 2005
2001-2002;2001-2002
2006 - 2014;2006 - 2014
2001 - 2014;2001 - 2014
1998 - 2012;1998 - 2012
1996 - 2010;1996 - 2010
2012;2012
2001 - 2012;2001 - 2012
1997- 2001;1997- 2001
1990 - 2012;1990 - 2012
1986- 2002;1986- 2002
1999 - 2014;1999 - 2014
1999 - 2001;1999 - 2001
2002 - 2010;2002 - 2010
2011 - 2015;2011 - 2015
1999 - 2015;1999 - 2015
2008 - 2012;2008 - 2012
2007 - 2012;2007 - 2012
1990 - 2010;1990 - 2010
2002 - 2007;2002 - 2007
2013 - 2015;2013 - 2015
1982 - 2002;1982 - 2002
1992- 2002;1992- 2002
2010 - 2014;2010 - 2014
2008 - 2014;2008 - 2014
1987 - 2006;1987 - 2006
1994 - 2012;1994 - 2012
1990 - 2007;1990 - 2007
1997-2000;1997-2000
2001-2003;2001-2003
2004 - 2005;2004 - 2005
2006 - 2011;2006 - 2011
2005 - 2006;2005 - 2006
2007 - 2011;2007 - 2011
2010 - 2011;2010 - 2011
1992 - 2014;1992 - 2014
1992- 2005;1992- 2005
2006 - 2012;2006 - 2012
1996 - 2001;1996 - 2001
1998 - 2005;1998 - 2005
1997 - 2007;1997 - 2007
2002 - 2012;2002 - 2012
2006 - 2010;2006 - 2010
1998 - 2007;1998 - 2007
1982 - 2004;1982 - 2004
1997 - 2004;1997 - 2004
2000 - 2007;2000 - 2007
2000 - 2006;2000 - 2006
1987 - 2007;1987 - 2007
1994- 2004;1994- 2004
2003 - 2014;2003 - 2014
1989 - 2004;1989 - 2004
2005 - 2009;2005 - 2009
2002 - 2008;2002 - 2008
2003 - 2011;2003 - 2011
1995 - 2007;1995 - 2007
1993- 2004;1993- 2004
2011;2011
1993 - 2010;1993 - 2010
1983 - 2011;1983 - 2011
1994- 2001;1994- 2001
1999;1999
2000-2006;2000-2006
1979 - 2015;1979 - 2015
2004 - 2008;2004 - 2008
2000-2007;2000-2007
1991 - 2010;1991 - 2010
1988 - 2011;1988 - 2011
2003 - 2010;2003 - 2010
1993 - 2005;1993 - 2005
1998 - 2003;1998 - 2003
2004 - 2010;2004 - 2010
1994 - 2001;1994 - 2001
2002 - 2005;2002 - 2005
2007 - 2001;2007 - 2001
2004 - 2006;2004 - 2006
1989 - 2012;1989 - 2012
2003 - 2012;2003 - 2012
2009 - 2012;2009 - 2012
1991 - 2012;1991 - 2012
1996-2000;1996-2000
1983 - 2008;1983 - 2008
1997 - 2000;1997 - 2000
2015 - 2016;2015 - 2016
2007 - 2010;2007 - 2010
2001 - 2003;2001 - 2003
2001 - 2010;2001 - 2010
2015;2015
1997- 2003;1997- 2003
2005 - 2012;2005 - 2012
2000 - 2010;2000 - 2010
2014 - 2016;2014 - 2016
1995 - 2010;1995 - 2010
2016;2016
2004 - 2007;2004 - 2007
2005 - 2007;2005 - 2007
1998- 2002;1998- 2002
2006;2006
2013;2013
1998- 2004;1998- 2004
1991 - 2014;1991 - 2014
1987 - 2004;1987 - 2004
1995-2000;1995-2000
1998 - 2010;1998 - 2010
1983 - 2002;1983 - 2002
2003 - 2015;2003 - 2015
1996- 2005;1996- 2005
2008 - 2009;2008 - 2009
1996 - 2007;1996 - 2007
2002 - 2004;2002 - 2004
2009;2009
1995 - 2004;1995 - 2004
1997 - 2002;1997 - 2002
1992 - 2006;1992 - 2006
2002;2002
2003;2003
1998- 2001;1998- 2001
2006 - 2007;2006 - 2007
2002 - 2014;2002 - 2014
